위도,경도,date,weather_code,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,daylight_duration,sunshine_duration,relative_humidity_2m_mean,relative_humidity_2m_max,relative_humidity_2m_min,dew_point_2m_mean,dew_point_2m_max,dew_point_2m_min,pressure_msl_mean,soil_temperature_0_to_7cm_mean
37.3467,126.7321,2024-01-22,3.0,-4.1,-11.6,-7.9,-9.9,-18.6,-15.0,0.0,0.0,0.0,0.0,8.08,15.0,309.0,9.8,1.1,36073.14,29100.52,52.0,73.0,37.0,-16.2,-8.2,-20.8,1029.2,0.0
37.3467,126.7321,2025-05-10,55.0,15.1,11.3,12.5,14.6,8.1,10.3,5.1,5.1,0.0,11.0,7.22,15.2,244.0,6.08,0.94,50514.76,819.45,92.0,98.0,84.0,11.3,14.7,10.3,999.4,13.1
37.3467,126.7321,2025-08-02,3.0,34.5,26.2,30.0,39.2,32.0,35.0,0.0,0.0,0.0,0.0,3.34,9.0,252.0,22.98,5.34,50542.4,43200.0,69.0,89.0,46.0,23.2,25.0,20.8,1002.9,32.4
37.3467,126.7321,2025-08-10,3.0,30.4,20.9,25.4,35.3,23.9,29.2,0.0,0.0,0.0,0.0,3.18,7.5,330.0,23.58,4.74,49618.35,45621.92,79.0,94.0,55.0,21.2,23.7,19.2,1002.3,25.7
37.3504,127.1108,2024-01-04,3.0,4.6,-5.1,-0.8,0.2,-9.3,-4.7,0.0,0.0,0.0,0.0,3.33,7.3,180.0,8.5,0.88,34826.09,29007.91,76.0,86.0,57.0,-4.7,-2.4,-7.4,1022.7,0.0
37.3504,127.1108,2024-02-16,3.0,5.6,-4.4,-0.1,2.1,-8.2,-3.7,0.0,0.0,0.0,0.0,2.82,7.0,162.0,14.34,1.45,39045.61,36757.9,78.0,93.0,54.0,-3.9,-2.1,-5.4,1025.3,2.6
37.3504,127.1108,2024-03-19,73.0,9.9,1.8,4.6,5.4,-3.7,-0.2,2.7,1.5,0.84,5.0,8.05,16.4,248.0,16.68,2.09,43552.92,32508.51,65.0,82.0,54.0,-1.4,3.4,-6.2,1016.0,6.5
37.3504,127.1108,2024-04-18,0.0,22.6,7.8,14.5,22.3,5.6,13.1,0.0,0.0,0.0,0.0,3.21,7.3,301.0,23.62,4.27,47796.91,45876.42,63.0,89.0,41.0,7.0,9.8,3.9,1010.5,15.2
37.3504,127.1108,2024-06-14,3.0,32.0,17.5,24.4,34.0,18.6,25.6,0.0,0.0,0.0,0.0,5.7,11.6,260.0,25.7,5.64,52961.0,46800.0,60.0,86.0,34.0,15.4,17.2,14.1,1005.1,24.9
37.3504,127.1108,2024-06-15,61.0,26.9,18.9,22.1,29.0,20.5,24.2,4.8,4.8,0.0,11.0,3.86,8.5,277.0,19.6,3.86,52981.6,36929.16,80.0,96.0,57.0,18.2,19.2,17.0,1004.4,24.0
37.3504,127.1108,2024-10-14,51.0,20.2,15.5,17.5,20.4,14.8,17.1,0.1,0.1,0.0,1.0,3.76,7.4,111.0,5.98,1.56,40646.2,9.39,75.0,89.0,61.0,13.0,14.8,11.8,1020.3,17.5
37.3504,127.1108,2026-01-23,71.0,-1.5,-11.4,-7.0,-6.3,-16.0,-11.5,0.2,0.0,0.14,2.0,2.64,6.9,284.0,9.75,0.88,36255.34,32207.8,50.0,77.0,19.0,-16.5,-7.2,-24.5,1026.9,-6.2
37.3504,127.9479,2025-01-16,3.0,1.4,-6.6,-2.3,-2.9,-10.5,-6.3,0.0,0.0,0.0,0.0,4.47,9.5,225.0,3.66,0.6,35624.9,494.88,63.0,88.0,49.0,-8.4,-3.6,-15.1,1025.7,0.3
37.3504,127.9479,2025-10-28,0.0,12.2,0.7,5.7,8.2,-2.1,2.8,0.0,0.0,0.0,0.0,2.73,6.6,254.0,14.83,1.96,38778.7,36294.37,57.0,76.0,32.0,-2.6,0.1,-6.4,1027.9,7.3
37.3507,126.9732,2023-11-22,3.0,12.3,1.5,7.0,9.6,-2.0,4.1,0.0,0.0,0.0,0.0,4.36,8.3,132.0,10.67,1.52,35994.68,29309.11,75.0,88.0,60.0,2.8,6.3,-0.5,1017.3,6.0
37.3507,126.9732,2024-08-12,53.0,32.9,25.4,28.5,40.5,30.8,34.7,2.2,2.2,0.0,7.0,2.1,5.2,191.0,21.4,4.56,49333.69,46776.53,82.0,96.0,63.0,24.9,26.8,23.8,1004.8,28.6
