매장,매장명,지역,형태,폐점여부,오픈일,평수,실평수,창고,계약면적(㎡),진열평수,신주소,위도,경도,매장인원,입고도우미PO,일평균매출,일평균물동량
10739,죽전사거리점,용인팀,직영점,영업,2018-03-12,214.0,200.0,14.0,779.0,187.0,경기도 용인시 수지구 포은대로 541 (죽전동) ,37.3263,127.1085,4.5,0.5,4762482.142857143,95.0
10217,중계동점,강북팀,직영점,영업,2010-01-18,118.0,113.0,5.0,859.0,102.0,서울특별시 노원구 한글비석로 242 (중계동) ,37.6492,127.077,7.9,0.5,8699017.857142856,174.0
10979,중계역점,강북팀,직영점,영업,2021-08-30,264.0,227.0,37.0,991.74,221.0,서울특별시 노원구 동일로 1308(중계동) ,37.646,127.0642,9.9,0.8,13356285.714285716,267.0
10659,중곡역점,구리팀,직영점,영업,2017-01-12,170.0,150.0,20.0,572.0,134.0,서울특별시 광진구 면목로 147 (중곡동) ,37.5665,127.0814,7.2,0.5,9334732.142857144,187.0
71664,진로그린마트호매실점,수원팀,유통점,영업,2019-07-21,60.0,57.0,3.0,0.0,53.0,경기도 수원시 권선구 칠보로 161 (호매실동) ,37.2662,126.9571,1.7,0.0,,
10735,진접본점,구리팀,직영점,영업,2018-01-12,278.0,227.0,51.0,918.0,207.0,경기도 남양주시 진접읍 해밀예당1로 27 ,37.7116,127.1855,5.4,0.7,7911339.285714285,158.0
10913,진주교대점,창원팀,직영점,영업,2019-08-23,304.0,245.0,59.0,1095.53,216.0,경상남도 진주시 진양호로 353 (신안동) 외1필지,35.1842,128.068,8.5,0.5,9773750.0,195.0
11024,진주금산점,창원팀,직영점,영업,2022-08-26,294.0,268.0,26.0,992.7,248.0,경남 진주시 금산면 금산로 48 (중천리) ,35.2138,128.1418,5.9,0.5,7302428.571428572,146.0
10263,진주대안점,창원팀,직영점,영업,2010-09-17,243.0,220.0,23.0,834.0,200.0,경상남도 진주시 진주대로1070번길 7-1 (대안동) ,35.1953,128.0844,8.2,0.8,9418089.285714284,188.0
11058,진주봉곡점,창원팀,직영점,영업,2023-05-26,291.0,271.0,20.0,991.75,265.0,경상남도 진주시 진주대로 1225 (인사동) ,35.1934,128.0693,11.6,0.8,13543607.142857144,271.0
10618,진주평거점,창원팀,직영점,영업,2016-07-29,398.0,391.0,7.0,1665.0,362.0,경상남도 진주시 남강로309번길 42-26 (평거동) ,35.1721,128.0596,9.2,0.5,10797589.285714284,216.0
10858,진주혁신도시점,창원팀,직영점,영업,2019-01-26,340.0,275.0,65.0,1128.8,253.0,경상남도 진주시 에나로 69 (충무공동) ,35.1772,128.1368,13.2,0.8,14046357.142857144,281.0
11084,진천점,충북팀,직영점,영업,2023-12-02,301.9,273.0,28.9,975.76,258.0,충청북도 진천군 진천읍 중앙동로 164 ,36.8641,127.4438,9.3,0.9,14383821.42857143,288.0
