temperature_2m_min,temperature_2m_max,precipitation_sum,snowfall_sum,rain_sum,wind_speed_10m_max,relative_humidity_2m_mean,soil_temperature_0_to_7cm_mean,평수,실평수,진열평수,창고,계약면적(㎡),매장인원,입고도우미PO,일평균매출,일평균물동량,형태,매장명,지역,위도,경도,매장,발생일시,incident_id,label
25.3,31.4,0.4,0.0,0.4,8.3,81,29.1,821.0,754.0,718.0,67.0,2894.0,26.9,1.5,32583303.57142857,652.0,직영점,속초본점,강릉속초팀,38.1901,128.5932,10817.0,2025-07-01,NEG-10817.0-2025-07-01,0
23.7,29.9,0.2,0.0,0.2,11.9,86,27.2,821.0,754.0,718.0,67.0,2894.0,26.9,1.5,32583303.57142857,652.0,직영점,속초본점,강릉속초팀,38.1901,128.5932,10817.0,2025-08-15,NEG-10817.0-2025-08-15,0
11.0,18.3,0.0,0.0,0.0,21.9,60,14.5,330.0,280.0,265.0,50.0,1764.0,9.2,0.5,10422589.285714284,208.0,직영점,진해장천점,창원팀,35.1301,128.7035,10820.0,2025-11-01,NEG-10820.0-2025-11-01,0
25.1,31.0,0.0,0.0,0.0,16.8,83,28.6,330.0,280.0,265.0,50.0,1764.0,9.2,0.5,10422589.285714284,208.0,직영점,진해장천점,창원팀,35.1301,128.7035,10820.0,2025-08-19,NEG-10820.0-2025-08-19,0
8.9,17.8,0.0,0.0,0.0,15.1,63,12.6,330.0,280.0,265.0,50.0,1764.0,9.2,0.5,10422589.285714284,208.0,직영점,진해장천점,창원팀,35.1301,128.7035,10820.0,2025-10-30,NEG-10820.0-2025-10-30,0
2.8,11.6,0.0,0.0,0.0,9.2,73,6.4,562.0,517.0,502.0,45.0,2360.7,13.9,1.1,17585910.714285713,352.0,직영점,부산기장본점,동부산팀,35.2434,129.2162,10826.0,2025-03-10,NEG-10826.0-2025-03-10,0
-2.4,12.0,0.0,0.0,0.0,14.3,62,1.1,562.0,517.0,502.0,45.0,2360.7,13.9,1.1,17585910.714285713,352.0,직영점,부산기장본점,동부산팀,35.2434,129.2162,10826.0,2025-02-16,NEG-10826.0-2025-02-16,0
-1.7,7.9,0.0,0.0,0.0,15.8,53,4.1,562.0,517.0,502.0,45.0,2360.7,13.9,1.1,17585910.714285713,352.0,직영점,부산기장본점,동부산팀,35.2434,129.2162,10826.0,2025-03-19,NEG-10826.0-2025-03-19,0
9.6,21.8,0.0,0.0,0.0,17.1,50,17.5,487.0,487.0,458.0,0.0,2552.59,24.4,1.8,29026178.57142857,581.0,직영점,부천중동본점,북인천팀,37.504,126.7725,10829.0,2026-04-30,NEG-10829.0-2026-04-30,0
0.3,14.8,0.0,0.0,0.0,13.3,65,7.6,487.0,487.0,458.0,0.0,2552.59,24.4,1.8,29026178.57142857,581.0,직영점,부천중동본점,북인천팀,37.504,126.7725,10829.0,2026-02-28,NEG-10829.0-2026-02-28,0
9.9,23.1,0.0,0.0,0.0,14.4,38,18.1,487.0,487.0,458.0,0.0,2552.59,24.4,1.8,29026178.57142857,581.0,직영점,부천중동본점,북인천팀,37.504,126.7725,10829.0,2026-04-23,NEG-10829.0-2026-04-23,0
-2.3,5.1,0.0,0.0,0.0,9.6,79,0.2,260.0,250.0,244.0,10.0,912.4,13.3,0.8,16457785.714285716,329.0,직영점,노원문화의거리점,강북팀,37.6555,127.0625,10830.0,2026-02-04,NEG-10830.0-2026-02-04,0
8.6,21.3,0.0,0.0,0.0,13.9,45,14.8,260.0,250.0,244.0,10.0,912.4,13.3,0.8,16457785.714285716,329.0,직영점,노원문화의거리점,강북팀,37.6555,127.0625,10830.0,2026-04-23,NEG-10830.0-2026-04-23,0
-4.7,6.7,0.0,0.0,0.0,12.0,78,0.1,260.0,250.0,244.0,10.0,912.4,13.3,0.8,16457785.714285716,329.0,직영점,노원문화의거리점,강북팀,37.6555,127.0625,10830.0,2026-02-12,NEG-10830.0-2026-02-12,0
